Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(transfer_attacks.py:1840271): Gdk-CRITICAL **: 11:40:31.972: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
Working on OSSA Attacks...
Working on FGSM Attacks...
Working on LeNet OSSA Attacks...
Working on LeNet FGSM Attacks...
Working on UNet OSSA Attacks...
Working on UNet FGSM Attacks...
+----------+-----------------+----------------------+-----------------------+----------------------------+----------------------+---------------------------+
| Epsilons | OSSA Fool Ratio | FGSM Attack Accuracy | LeNet OSSA Fool Ratio | LeNet FGSM Attack Accuracy | UNet OSSA Fool Ratio | UNet FGSM Attack Accuracy |
+----------+-----------------+----------------------+-----------------------+----------------------------+----------------------+---------------------------+
|   0.0    |       3.01      |         3.01         |          -0.9         |            -0.9            |        -0.21         |           -0.21           |
|   0.2    |      88.11      |        98.14         |         -0.71         |            0.28            |        80.64         |           97.59           |
|   0.4    |      95.19      |         99.6         |         -0.41         |            6.64            |        94.51         |            99.4           |
|   0.6    |       91.9      |        99.78         |          0.06         |           23.45            |        91.57         |           99.75           |
|   0.8    |      89.21      |        99.82         |          1.1          |           39.76            |        88.79         |           99.79           |
|   1.0    |      86.66      |        99.83         |          2.46         |           53.19            |        86.09         |           99.83           |
|   1.2    |      84.59      |        99.84         |          4.67         |            63.7            |        84.07         |           99.83           |
|   1.4    |      82.98      |        99.84         |          8.18         |           71.36            |        82.38         |           99.82           |
|   1.6    |      81.52      |        99.82         |         12.54         |           76.74            |        80.92         |           99.79           |
|   1.8    |      80.24      |        99.77         |         17.18         |           80.83            |        79.69         |           99.75           |
|   2.0    |      79.18      |        99.77         |          21.9         |           83.41            |        78.57         |           99.67           |
|   2.2    |      78.39      |        99.73         |         26.64         |            85.3            |        77.54         |           99.66           |
|   2.4    |      77.49      |        99.61         |         30.83         |           86.72            |        76.64         |           99.64           |
|   2.6    |      76.91      |        99.58         |         35.33         |           87.82            |        76.16         |           99.58           |
|   2.8    |      76.36      |        99.55         |         39.06         |            88.4            |        75.61         |           99.52           |
|   3.0    |      75.66      |        99.51         |          43.0         |            88.9            |        74.85         |           99.42           |
|   3.2    |      75.37      |        99.43         |         46.29         |           89.31            |        74.43         |           99.35           |
|   3.4    |      75.17      |        99.38         |         49.24         |           89.52            |        74.26         |           99.33           |
|   3.6    |      74.85      |        99.33         |         52.02         |           89.68            |        73.81         |           99.33           |
|   3.8    |      74.46      |        99.27         |         54.81         |           89.78            |        73.48         |           99.27           |
|   4.0    |      74.19      |        99.21         |         57.15         |           89.88            |        73.17         |           99.22           |
