Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(model_trainer.py:429726): Gdk-CRITICAL **: 17:52:54.293: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
Epochs:  100000
Pretrained:  False
SAM:  False
Adversarial Training Type:  None
Files already downloaded and verified
Files already downloaded and verified
CIFAR10 Data Loaded
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1           [-1, 48, 32, 32]           1,296
       BatchNorm2d-2           [-1, 48, 32, 32]              96
             ReLU6-3           [-1, 48, 32, 32]               0
            Conv2d-4           [-1, 48, 32, 32]             432
       BatchNorm2d-5           [-1, 48, 32, 32]              96
             ReLU6-6           [-1, 48, 32, 32]               0
            Conv2d-7           [-1, 24, 32, 32]           1,152
       BatchNorm2d-8           [-1, 24, 32, 32]              48
  InvertedResidual-9           [-1, 24, 32, 32]               0
           Conv2d-10          [-1, 144, 32, 32]           3,456
      BatchNorm2d-11          [-1, 144, 32, 32]             288
            ReLU6-12          [-1, 144, 32, 32]               0
           Conv2d-13          [-1, 144, 32, 32]           1,296
      BatchNorm2d-14          [-1, 144, 32, 32]             288
            ReLU6-15          [-1, 144, 32, 32]               0
           Conv2d-16           [-1, 32, 32, 32]           4,608
      BatchNorm2d-17           [-1, 32, 32, 32]              64
 InvertedResidual-18           [-1, 32, 32, 32]               0
           Conv2d-19          [-1, 192, 32, 32]           6,144
      BatchNorm2d-20          [-1, 192, 32, 32]             384
            ReLU6-21          [-1, 192, 32, 32]               0
           Conv2d-22          [-1, 192, 32, 32]           1,728
      BatchNorm2d-23          [-1, 192, 32, 32]             384
            ReLU6-24          [-1, 192, 32, 32]               0
           Conv2d-25           [-1, 32, 32, 32]           6,144
      BatchNorm2d-26           [-1, 32, 32, 32]              64
 InvertedResidual-27           [-1, 32, 32, 32]               0
           Conv2d-28          [-1, 192, 32, 32]           6,144
      BatchNorm2d-29          [-1, 192, 32, 32]             384
            ReLU6-30          [-1, 192, 32, 32]               0
           Conv2d-31          [-1, 192, 16, 16]           1,728
      BatchNorm2d-32          [-1, 192, 16, 16]             384
            ReLU6-33          [-1, 192, 16, 16]               0
           Conv2d-34           [-1, 48, 16, 16]           9,216
      BatchNorm2d-35           [-1, 48, 16, 16]              96
 InvertedResidual-36           [-1, 48, 16, 16]               0
           Conv2d-37          [-1, 288, 16, 16]          13,824
      BatchNorm2d-38          [-1, 288, 16, 16]             576
            ReLU6-39          [-1, 288, 16, 16]               0
           Conv2d-40          [-1, 288, 16, 16]           2,592
      BatchNorm2d-41          [-1, 288, 16, 16]             576
            ReLU6-42          [-1, 288, 16, 16]               0
           Conv2d-43           [-1, 48, 16, 16]          13,824
      BatchNorm2d-44           [-1, 48, 16, 16]              96
 InvertedResidual-45           [-1, 48, 16, 16]               0
           Conv2d-46          [-1, 288, 16, 16]          13,824
      BatchNorm2d-47          [-1, 288, 16, 16]             576
            ReLU6-48          [-1, 288, 16, 16]               0
           Conv2d-49          [-1, 288, 16, 16]           2,592
      BatchNorm2d-50          [-1, 288, 16, 16]             576
            ReLU6-51          [-1, 288, 16, 16]               0
           Conv2d-52           [-1, 48, 16, 16]          13,824
      BatchNorm2d-53           [-1, 48, 16, 16]              96
 InvertedResidual-54           [-1, 48, 16, 16]               0
           Conv2d-55          [-1, 288, 16, 16]          13,824
      BatchNorm2d-56          [-1, 288, 16, 16]             576
            ReLU6-57          [-1, 288, 16, 16]               0
           Conv2d-58            [-1, 288, 8, 8]           2,592
      BatchNorm2d-59            [-1, 288, 8, 8]             576
            ReLU6-60            [-1, 288, 8, 8]               0
           Conv2d-61             [-1, 88, 8, 8]          25,344
      BatchNorm2d-62             [-1, 88, 8, 8]             176
 InvertedResidual-63             [-1, 88, 8, 8]               0
           Conv2d-64            [-1, 528, 8, 8]          46,464
      BatchNorm2d-65            [-1, 528, 8, 8]           1,056
            ReLU6-66            [-1, 528, 8, 8]               0
           Conv2d-67            [-1, 528, 8, 8]           4,752
      BatchNorm2d-68            [-1, 528, 8, 8]           1,056
            ReLU6-69            [-1, 528, 8, 8]               0
           Conv2d-70             [-1, 88, 8, 8]          46,464
      BatchNorm2d-71             [-1, 88, 8, 8]             176
 InvertedResidual-72             [-1, 88, 8, 8]               0
           Conv2d-73            [-1, 528, 8, 8]          46,464
      BatchNorm2d-74            [-1, 528, 8, 8]           1,056
            ReLU6-75            [-1, 528, 8, 8]               0
           Conv2d-76            [-1, 528, 8, 8]           4,752
      BatchNorm2d-77            [-1, 528, 8, 8]           1,056
            ReLU6-78            [-1, 528, 8, 8]               0
           Conv2d-79             [-1, 88, 8, 8]          46,464
      BatchNorm2d-80             [-1, 88, 8, 8]             176
 InvertedResidual-81             [-1, 88, 8, 8]               0
           Conv2d-82            [-1, 528, 8, 8]          46,464
      BatchNorm2d-83            [-1, 528, 8, 8]           1,056
            ReLU6-84            [-1, 528, 8, 8]               0
           Conv2d-85            [-1, 528, 8, 8]           4,752
      BatchNorm2d-86            [-1, 528, 8, 8]           1,056
            ReLU6-87            [-1, 528, 8, 8]               0
           Conv2d-88             [-1, 88, 8, 8]          46,464
      BatchNorm2d-89             [-1, 88, 8, 8]             176
 InvertedResidual-90             [-1, 88, 8, 8]               0
           Conv2d-91            [-1, 528, 8, 8]          46,464
      BatchNorm2d-92            [-1, 528, 8, 8]           1,056
            ReLU6-93            [-1, 528, 8, 8]               0
           Conv2d-94            [-1, 528, 8, 8]           4,752
      BatchNorm2d-95            [-1, 528, 8, 8]           1,056
            ReLU6-96            [-1, 528, 8, 8]               0
           Conv2d-97            [-1, 136, 8, 8]          71,808
      BatchNorm2d-98            [-1, 136, 8, 8]             272
 InvertedResidual-99            [-1, 136, 8, 8]               0
          Conv2d-100            [-1, 816, 8, 8]         110,976
     BatchNorm2d-101            [-1, 816, 8, 8]           1,632
           ReLU6-102            [-1, 816, 8, 8]               0
          Conv2d-103            [-1, 816, 8, 8]           7,344
     BatchNorm2d-104            [-1, 816, 8, 8]           1,632
           ReLU6-105            [-1, 816, 8, 8]               0
          Conv2d-106            [-1, 136, 8, 8]         110,976
     BatchNorm2d-107            [-1, 136, 8, 8]             272
InvertedResidual-108            [-1, 136, 8, 8]               0
          Conv2d-109            [-1, 816, 8, 8]         110,976
     BatchNorm2d-110            [-1, 816, 8, 8]           1,632
           ReLU6-111            [-1, 816, 8, 8]               0
          Conv2d-112            [-1, 816, 8, 8]           7,344
     BatchNorm2d-113            [-1, 816, 8, 8]           1,632
           ReLU6-114            [-1, 816, 8, 8]               0
          Conv2d-115            [-1, 136, 8, 8]         110,976
     BatchNorm2d-116            [-1, 136, 8, 8]             272
InvertedResidual-117            [-1, 136, 8, 8]               0
          Conv2d-118            [-1, 816, 8, 8]         110,976
     BatchNorm2d-119            [-1, 816, 8, 8]           1,632
           ReLU6-120            [-1, 816, 8, 8]               0
          Conv2d-121            [-1, 816, 4, 4]           7,344
     BatchNorm2d-122            [-1, 816, 4, 4]           1,632
           ReLU6-123            [-1, 816, 4, 4]               0
          Conv2d-124            [-1, 224, 4, 4]         182,784
     BatchNorm2d-125            [-1, 224, 4, 4]             448
InvertedResidual-126            [-1, 224, 4, 4]               0
          Conv2d-127           [-1, 1344, 4, 4]         301,056
     BatchNorm2d-128           [-1, 1344, 4, 4]           2,688
           ReLU6-129           [-1, 1344, 4, 4]               0
          Conv2d-130           [-1, 1344, 4, 4]          12,096
     BatchNorm2d-131           [-1, 1344, 4, 4]           2,688
           ReLU6-132           [-1, 1344, 4, 4]               0
          Conv2d-133            [-1, 224, 4, 4]         301,056
     BatchNorm2d-134            [-1, 224, 4, 4]             448
InvertedResidual-135            [-1, 224, 4, 4]               0
          Conv2d-136           [-1, 1344, 4, 4]         301,056
     BatchNorm2d-137           [-1, 1344, 4, 4]           2,688
           ReLU6-138           [-1, 1344, 4, 4]               0
          Conv2d-139           [-1, 1344, 4, 4]          12,096
     BatchNorm2d-140           [-1, 1344, 4, 4]           2,688
           ReLU6-141           [-1, 1344, 4, 4]               0
          Conv2d-142            [-1, 224, 4, 4]         301,056
     BatchNorm2d-143            [-1, 224, 4, 4]             448
InvertedResidual-144            [-1, 224, 4, 4]               0
          Conv2d-145           [-1, 1344, 4, 4]         301,056
     BatchNorm2d-146           [-1, 1344, 4, 4]           2,688
           ReLU6-147           [-1, 1344, 4, 4]               0
          Conv2d-148           [-1, 1344, 4, 4]          12,096
     BatchNorm2d-149           [-1, 1344, 4, 4]           2,688
           ReLU6-150           [-1, 1344, 4, 4]               0
          Conv2d-151            [-1, 448, 4, 4]         602,112
     BatchNorm2d-152            [-1, 448, 4, 4]             896
InvertedResidual-153            [-1, 448, 4, 4]               0
          Conv2d-154           [-1, 1792, 4, 4]         802,816
     BatchNorm2d-155           [-1, 1792, 4, 4]           3,584
           ReLU6-156           [-1, 1792, 4, 4]               0
         Dropout-157                 [-1, 1792]               0
          Linear-158                   [-1, 10]          17,930
     MobileNetV2-159                   [-1, 10]               0
================================================================
Total params: 4,333,706
Trainable params: 4,333,706
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 53.00
Params size (MB): 16.53
Estimated Total Size (MB): 69.54
----------------------------------------------------------------
cifar10_mobilenetv2_x1_4 Network Loaded
Academy Set Up
Training
Epoch:  0 	Loss:  2.302664041519165
Epoch:  10 	Loss:  2.3025848865509033
Epoch:  20 	Loss:  2.302685499191284
Epoch:  30 	Loss:  2.302574872970581
Epoch:  40 	Loss:  2.302525043487549
Epoch:  50 	Loss:  2.3026621341705322
Epoch:  60 	Loss:  2.302643060684204
Epoch:  70 	Loss:  2.3026814460754395
Epoch:  80 	Loss:  2.3026270866394043
Epoch:  90 	Loss:  2.302609443664551
Epoch:  100 	Loss:  2.302581310272217
Epoch:  110 	Loss:  2.3026633262634277
Epoch:  120 	Loss:  2.302666425704956
Epoch:  130 	Loss:  2.302563428878784
Epoch:  140 	Loss:  2.302629232406616
Epoch:  150 	Loss:  2.3026130199432373
Epoch:  160 	Loss:  2.3026320934295654
Epoch:  170 	Loss:  2.3026175498962402
Epoch:  180 	Loss:  2.3025646209716797
Epoch:  190 	Loss:  2.3026607036590576
Epoch:  200 	Loss:  2.3026392459869385
Epoch:  210 	Loss:  2.3025248050689697
Epoch:  220 	Loss:  2.302638292312622
Epoch:  230 	Loss:  2.302605152130127
Epoch:  240 	Loss:  2.3026254177093506
Epoch:  250 	Loss:  2.3025991916656494
Epoch:  260 	Loss:  2.3026158809661865
Epoch:  270 	Loss:  2.30261492729187
Epoch:  280 	Loss:  2.3025810718536377
Epoch:  290 	Loss:  2.30265474319458
Epoch:  300 	Loss:  2.3026514053344727
Epoch:  310 	Loss:  2.3026254177093506
Epoch:  320 	Loss:  2.3026044368743896
Epoch:  330 	Loss:  2.302635431289673
Epoch:  340 	Loss:  2.3025383949279785
Epoch:  350 	Loss:  2.302635431289673
Epoch:  360 	Loss:  2.3025708198547363
Epoch:  370 	Loss:  2.3026111125946045
Epoch:  380 	Loss:  2.3025765419006348
Epoch:  390 	Loss:  2.302640438079834
Epoch:  400 	Loss:  2.3026063442230225
Epoch:  410 	Loss:  2.3026375770568848
Epoch:  420 	Loss:  2.3026347160339355
Epoch:  430 	Loss:  2.3025190830230713
Epoch:  440 	Loss:  2.302656650543213
Epoch:  450 	Loss:  2.30265474319458
Epoch:  460 	Loss:  2.302610397338867
Epoch:  470 	Loss:  2.302687168121338
Epoch:  480 	Loss:  2.3026297092437744
Epoch:  490 	Loss:  2.3026182651519775
Epoch:  500 	Loss:  2.3026626110076904
Epoch:  510 	Loss:  2.3026232719421387
Epoch:  520 	Loss:  2.3026182651519775
Epoch:  530 	Loss:  2.3026223182678223
Epoch:  540 	Loss:  2.3025238513946533
Epoch:  550 	Loss:  2.3027284145355225
Epoch:  560 	Loss:  2.3026885986328125
Epoch:  570 	Loss:  2.302499771118164
Epoch:  580 	Loss:  2.302637815475464
Epoch:  590 	Loss:  2.3026318550109863
Epoch:  600 	Loss:  2.302642345428467
Epoch:  610 	Loss:  2.302558422088623
Epoch:  620 	Loss:  2.3028228282928467
Epoch:  630 	Loss:  2.302578926086426
Epoch:  640 	Loss:  2.302729606628418
Epoch:  650 	Loss:  2.302544116973877
Epoch:  660 	Loss:  2.3026185035705566
Epoch:  670 	Loss:  2.3026394844055176
Epoch:  680 	Loss:  2.3026468753814697
Epoch:  690 	Loss:  2.3026459217071533
Epoch:  700 	Loss:  2.302534580230713
Epoch:  710 	Loss:  2.3026070594787598
Epoch:  720 	Loss:  2.3027219772338867
Epoch:  730 	Loss:  2.3025569915771484
Epoch:  740 	Loss:  2.3025448322296143
Epoch:  750 	Loss:  2.3025546073913574
Epoch:  760 	Loss:  2.302670955657959
Epoch:  770 	Loss:  2.3025317192077637
Epoch:  780 	Loss:  2.3025221824645996
Epoch:  790 	Loss:  2.3025259971618652
Epoch:  800 	Loss:  2.3026375770568848
Epoch:  810 	Loss:  2.3025550842285156
Epoch:  820 	Loss:  2.3025996685028076
Epoch:  830 	Loss:  2.3026349544525146
Epoch:  840 	Loss:  2.30256724357605
Epoch:  850 	Loss:  2.3025293350219727
Epoch:  860 	Loss:  2.302631378173828
Epoch:  870 	Loss:  2.3026249408721924
Epoch:  880 	Loss:  2.3026325702667236
Epoch:  890 	Loss:  2.302696943283081
Epoch:  900 	Loss:  2.302612066268921
Epoch:  910 	Loss:  2.302642583847046
Epoch:  920 	Loss:  2.3025765419006348
Epoch:  930 	Loss:  2.302518844604492
Epoch:  940 	Loss:  2.3025946617126465
Epoch:  950 	Loss:  2.3025290966033936
Epoch:  960 	Loss:  2.302590847015381
Epoch:  970 	Loss:  2.3025307655334473
Epoch:  980 	Loss:  2.3025786876678467
Epoch:  990 	Loss:  2.302597999572754
Epoch:  1000 	Loss:  2.302604913711548
Epoch:  1010 	Loss:  2.3025717735290527
Epoch:  1020 	Loss:  2.302543878555298
Epoch:  1030 	Loss:  2.3025705814361572
Epoch:  1040 	Loss:  2.3025801181793213
Epoch:  1050 	Loss:  2.3027119636535645
Epoch:  1060 	Loss:  2.302607774734497
Epoch:  1070 	Loss:  2.302642345428467
Epoch:  1080 	Loss:  2.302598476409912
Epoch:  1090 	Loss:  2.3025453090667725
Epoch:  1100 	Loss:  2.302671194076538
Epoch:  1110 	Loss:  2.302607774734497
Epoch:  1120 	Loss:  2.3026063442230225
Epoch:  1130 	Loss:  2.3026182651519775
Epoch:  1140 	Loss:  2.302609443664551
Epoch:  1150 	Loss:  2.302553415298462
Epoch:  1160 	Loss:  2.3026111125946045
Epoch:  1170 	Loss:  2.3025946617126465
Epoch:  1180 	Loss:  2.3026068210601807
Epoch:  1190 	Loss:  2.3026251792907715
Epoch:  1200 	Loss:  2.3025944232940674
Epoch:  1210 	Loss:  2.302527904510498
Epoch:  1220 	Loss:  2.30254864692688
Epoch:  1230 	Loss:  2.3026070594787598
Epoch:  1240 	Loss:  2.3026070594787598
Epoch:  1250 	Loss:  2.3025946617126465
Epoch:  1260 	Loss:  2.3025574684143066
Epoch:  1270 	Loss:  2.302658796310425
Epoch:  1280 	Loss:  2.3027024269104004
Epoch:  1290 	Loss:  2.3026657104492188
Epoch:  1300 	Loss:  2.3026559352874756
Epoch:  1310 	Loss:  2.3026604652404785
Epoch:  1320 	Loss:  2.302597999572754
Epoch:  1330 	Loss:  2.302628993988037
Epoch:  1340 	Loss:  2.3026156425476074
Epoch:  1350 	Loss:  2.3025970458984375
Epoch:  1360 	Loss:  2.302741289138794
Epoch:  1370 	Loss:  2.302612066268921
Epoch:  1380 	Loss:  2.302617073059082
Epoch:  1390 	Loss:  2.3026368618011475
Epoch:  1400 	Loss:  2.3025825023651123
Epoch:  1410 	Loss:  2.302623748779297
Epoch:  1420 	Loss:  2.3028736114501953
Epoch:  1430 	Loss:  2.3026785850524902
Epoch:  1440 	Loss:  2.3026671409606934
Epoch:  1450 	Loss:  2.3025927543640137
Epoch:  1460 	Loss:  2.302626132965088
Epoch:  1470 	Loss:  2.3025755882263184
Epoch:  1480 	Loss:  2.302522659301758
Epoch:  1490 	Loss:  2.3025360107421875
Epoch:  1500 	Loss:  2.3025617599487305
Epoch:  1510 	Loss:  2.3026018142700195
Epoch:  1520 	Loss:  2.3025662899017334
Epoch:  1530 	Loss:  2.302687883377075
Epoch:  1540 	Loss:  2.3025736808776855
Epoch:  1550 	Loss:  2.302624225616455
Epoch:  1560 	Loss:  2.3026437759399414
Epoch:  1570 	Loss:  2.302703619003296
Epoch:  1580 	Loss:  2.302564859390259
Epoch:  1590 	Loss:  2.3025145530700684
Epoch:  1600 	Loss:  2.302492141723633
Epoch:  1610 	Loss:  2.3025519847869873
Epoch:  1620 	Loss:  2.3025577068328857
Epoch:  1630 	Loss:  2.3027091026306152
Epoch:  1640 	Loss:  2.3026530742645264
Epoch:  1650 	Loss:  2.3026726245880127
Epoch:  1660 	Loss:  2.3024866580963135
Epoch:  1670 	Loss:  2.3026180267333984
Epoch:  1680 	Loss:  2.3025424480438232
Epoch:  1690 	Loss:  2.3026623725891113
Epoch:  1700 	Loss:  2.3026485443115234
Epoch:  1710 	Loss:  2.3026280403137207
Epoch:  1720 	Loss:  2.3025951385498047
Epoch:  1730 	Loss:  2.3025624752044678
Epoch:  1740 	Loss:  2.3025612831115723
Epoch:  1750 	Loss:  2.3026158809661865
Epoch:  1760 	Loss:  2.3026375770568848
Epoch:  1770 	Loss:  2.3026890754699707
Epoch:  1780 	Loss:  2.3025295734405518
Epoch:  1790 	Loss:  2.3026669025421143
Epoch:  1800 	Loss:  2.302626371383667
Epoch:  1810 	Loss:  2.3026366233825684
Epoch:  1820 	Loss:  2.302659034729004
Epoch:  1830 	Loss:  2.302579641342163
Epoch:  1840 	Loss:  2.3026654720306396
Epoch:  1850 	Loss:  2.3026232719421387
Epoch:  1860 	Loss:  2.3026254177093506
Epoch:  1870 	Loss:  2.302569627761841
Epoch:  1880 	Loss:  2.3025641441345215
Epoch:  1890 	Loss:  2.3026771545410156
Epoch:  1900 	Loss:  2.302621364593506
Epoch:  1910 	Loss:  2.302485942840576
Epoch:  1920 	Loss:  2.3025875091552734
Epoch:  1930 	Loss:  2.3026299476623535
Epoch:  1940 	Loss:  2.3026862144470215
Epoch:  1950 	Loss:  2.302656650543213
Epoch:  1960 	Loss:  2.302565813064575
Epoch:  1970 	Loss:  2.3026607036590576
Epoch:  1980 	Loss:  2.302650213241577
Epoch:  1990 	Loss:  2.30261492729187
Epoch:  2000 	Loss:  2.302686929702759
Epoch:  2010 	Loss:  2.3025717735290527
Epoch:  2020 	Loss:  2.302584171295166
Epoch:  2030 	Loss:  2.3026270866394043
Epoch:  2040 	Loss:  2.302591323852539
Epoch:  2050 	Loss:  2.3026251792907715
Epoch:  2060 	Loss:  2.3026041984558105
Epoch:  2070 	Loss:  2.3025481700897217
Epoch:  2080 	Loss:  2.3027968406677246
Epoch:  2090 	Loss:  2.302642345428467
Epoch:  2100 	Loss:  2.3026680946350098
Epoch:  2110 	Loss:  2.3026185035705566
Epoch:  2120 	Loss:  2.3025922775268555
Epoch:  2130 	Loss:  2.302600383758545
Epoch:  2140 	Loss:  2.3026084899902344
Epoch:  2150 	Loss:  2.3026604652404785
Epoch:  2160 	Loss:  2.3025975227355957
Epoch:  2170 	Loss:  2.3027865886688232
Epoch:  2180 	Loss:  2.302614688873291
Epoch:  2190 	Loss:  2.3027026653289795
Epoch:  2200 	Loss:  2.3027470111846924
Epoch:  2210 	Loss:  2.302647113800049
Epoch:  2220 	Loss:  2.3025736808776855
Epoch:  2230 	Loss:  2.3026368618011475
Epoch:  2240 	Loss:  2.3025944232940674
Epoch:  2250 	Loss:  2.302621603012085
Epoch:  2260 	Loss:  2.30277156829834
Epoch:  2270 	Loss:  2.3026254177093506
Epoch:  2280 	Loss:  2.3025877475738525
Epoch:  2290 	Loss:  2.3026270866394043
Epoch:  2300 	Loss:  2.3025319576263428
Epoch:  2310 	Loss:  2.302605390548706
Epoch:  2320 	Loss:  2.302578926086426
Epoch:  2330 	Loss:  2.3025400638580322
Epoch:  2340 	Loss:  2.3026185035705566
Epoch:  2350 	Loss:  2.302572727203369
Epoch:  2360 	Loss:  2.302558422088623
Epoch:  2370 	Loss:  2.302645444869995
Epoch:  2380 	Loss:  2.302615165710449
Epoch:  2390 	Loss:  2.3025667667388916
Epoch:  2400 	Loss:  2.3027026653289795
Epoch:  2410 	Loss:  2.3026459217071533
Epoch:  2420 	Loss:  2.3026392459869385
Epoch:  2430 	Loss:  2.3027617931365967
Epoch:  2440 	Loss:  2.302738904953003
Epoch:  2450 	Loss:  2.3026373386383057
Epoch:  2460 	Loss:  2.3025474548339844
Epoch:  2470 	Loss:  2.3025856018066406
Epoch:  2480 	Loss:  2.302689790725708
Epoch:  2490 	Loss:  2.302666187286377
Epoch:  2500 	Loss:  2.3025848865509033
Epoch:  2510 	Loss:  2.3025753498077393
Epoch:  2520 	Loss:  2.3026249408721924
Epoch:  2530 	Loss:  2.302682399749756
Epoch:  2540 	Loss:  2.3025996685028076
Epoch:  2550 	Loss:  2.3025410175323486
Epoch:  2560 	Loss:  2.30271577835083
Epoch:  2570 	Loss:  2.302583694458008
Epoch:  2580 	Loss:  2.302581310272217
Epoch:  2590 	Loss:  2.3026349544525146
Epoch:  2600 	Loss:  2.3024754524230957
Epoch:  2610 	Loss:  2.3026251792907715
Epoch:  2620 	Loss:  2.3025922775268555
Epoch:  2630 	Loss:  2.3025612831115723
Epoch:  2640 	Loss:  2.3026037216186523
Epoch:  2650 	Loss:  2.302734851837158
Epoch:  2660 	Loss:  2.302647590637207
Epoch:  2670 	Loss:  2.3025972843170166
Epoch:  2680 	Loss:  2.3025386333465576
Epoch:  2690 	Loss:  2.302651882171631
Epoch:  2700 	Loss:  2.302568197250366
Epoch:  2710 	Loss:  2.3025012016296387
Epoch:  2720 	Loss:  2.3024990558624268
Epoch:  2730 	Loss:  2.3026556968688965
Epoch:  2740 	Loss:  2.302607536315918
Epoch:  2750 	Loss:  2.302598237991333
Epoch:  2760 	Loss:  2.3026294708251953
Epoch:  2770 	Loss:  2.302607297897339
Epoch:  2780 	Loss:  2.302642822265625
Epoch:  2790 	Loss:  2.302668333053589
Epoch:  2800 	Loss:  2.3025736808776855
Epoch:  2810 	Loss:  2.3026106357574463
Epoch:  2820 	Loss:  2.302722454071045
Epoch:  2830 	Loss:  2.302643299102783
Epoch:  2840 	Loss:  2.3025903701782227
Epoch:  2850 	Loss:  2.3026463985443115
Epoch:  2860 	Loss:  2.3025636672973633
Epoch:  2870 	Loss:  2.3025879859924316
Epoch:  2880 	Loss:  2.302630662918091
