models/pretrained/MNIST/U_w_means_0-10024631768465042_and_stds_0-9899614453315735_.pt  is Loaded.
models/pretrained/MNIST/U_w_means_0-10024631768465042_and_stds_0-9899614453315735_.pt  is Loaded.
models/pretrained/MNIST/U_w_means_0-10024631768465042_and_stds_0-9899614453315735_.pt  is Loaded.
Adv Gathered 0
+---------------------+-----------+---------+-------+-------------+------------+
|       Epsilons      | White Box | Reg Net | U Net | Distill Net | AT-PGD Net |
+---------------------+-----------+---------+-------+-------------+------------+
|         0.0         |    84.0   |   83.0  |  83.0 |     83.0    |    82.0    |
|        0.005        |    84.0   |   83.0  |  83.0 |     83.0    |    82.0    |
|         0.01        |    84.0   |   83.0  |  83.0 |     83.0    |    82.0    |
|        0.015        |    84.0   |   83.0  |  83.0 |     83.0    |    82.0    |
|         0.02        |    85.0   |   83.0  |  83.0 |     83.0    |    82.0    |
|        0.025        |    85.0   |   83.0  |  83.0 |     83.0    |    82.0    |
|         0.03        |    85.0   |   83.0  |  83.0 |     83.0    |    82.0    |
|        0.035        |    85.0   |   83.0  |  84.0 |     83.0    |    82.0    |
|         0.04        |    86.0   |   83.0  |  84.0 |     83.0    |    82.0    |
|        0.045        |    86.0   |   83.0  |  84.0 |     83.0    |    82.0    |
|         0.05        |    86.0   |   83.0  |  84.0 |     84.0    |    82.0    |
|        0.055        |    87.0   |   83.0  |  84.0 |     84.0    |    82.0    |
|         0.06        |    87.0   |   83.0  |  84.0 |     84.0    |    82.0    |
|        0.065        |    87.0   |   83.0  |  84.0 |     84.0    |    82.0    |
|         0.07        |    88.0   |   84.0  |  84.0 |     84.0    |    82.0    |
|        0.075        |    88.0   |   84.0  |  84.0 |     84.0    |    82.0    |
|         0.08        |    88.0   |   84.0  |  84.0 |     84.0    |    82.0    |
|        0.085        |    88.0   |   84.0  |  84.0 |     84.0    |    82.0    |
|         0.09        |    89.0   |   84.0  |  84.0 |     84.0    |    82.0    |
|        0.095        |    89.0   |   84.0  |  84.0 |     84.0    |    82.0    |
|         0.1         |    89.0   |   84.0  |  84.0 |     84.0    |    83.0    |
|        0.105        |    89.0   |   84.0  |  84.0 |     84.0    |    83.0    |
|         0.11        |    90.0   |   84.0  |  84.0 |     84.0    |    83.0    |
|        0.115        |    90.0   |   84.0  |  84.0 |     84.0    |    83.0    |
|         0.12        |    90.0   |   84.0  |  85.0 |     84.0    |    83.0    |
|        0.125        |    90.0   |   84.0  |  85.0 |     84.0    |    83.0    |
|         0.13        |    90.0   |   84.0  |  85.0 |     84.0    |    83.0    |
|        0.135        |    91.0   |   84.0  |  85.0 |     84.0    |    83.0    |
|         0.14        |    91.0   |   84.0  |  85.0 |     85.0    |    83.0    |
|        0.145        |    91.0   |   84.0  |  85.0 |     85.0    |    83.0    |
|         0.15        |    91.0   |   84.0  |  85.0 |     85.0    |    83.0    |
|        0.155        |    91.0   |   84.0  |  85.0 |     85.0    |    83.0    |
|         0.16        |    91.0   |   84.0  |  85.0 |     85.0    |    83.0    |
|        0.165        |    91.0   |   85.0  |  85.0 |     85.0    |    83.0    |
|         0.17        |    91.0   |   85.0  |  85.0 |     85.0    |    84.0    |
| 0.17500000000000002 |    91.0   |   85.0  |  85.0 |     85.0    |    84.0    |
|         0.18        |    91.0   |   85.0  |  85.0 |     85.0    |    84.0    |
|        0.185        |    91.0   |   85.0  |  86.0 |     85.0    |    84.0    |
|         0.19        |    91.0   |   85.0  |  86.0 |     85.0    |    84.0    |
|        0.195        |    91.0   |   85.0  |  86.0 |     85.0    |    84.0    |
|         0.2         |    91.0   |   85.0  |  86.0 |     86.0    |    84.0    |
| 0.20500000000000002 |    91.0   |   85.0  |  86.0 |     86.0    |    84.0    |
|         0.21        |    91.0   |   85.0  |  86.0 |     86.0    |    84.0    |
|        0.215        |    91.0   |   85.0  |  86.0 |     86.0    |    84.0    |
|         0.22        |    91.0   |   85.0  |  86.0 |     86.0    |    85.0    |
|        0.225        |    91.0   |   85.0  |  86.0 |     86.0    |    85.0    |
|         0.23        |    91.0   |   86.0  |  86.0 |     86.0    |    85.0    |
| 0.23500000000000001 |    91.0   |   86.0  |  86.0 |     86.0    |    85.0    |
|         0.24        |    91.0   |   86.0  |  86.0 |     86.0    |    85.0    |
|        0.245        |    91.0   |   86.0  |  86.0 |     86.0    |    85.0    |
|         0.25        |    91.0   |   86.0  |  86.0 |     86.0    |    85.0    |
|        0.255        |    91.0   |   86.0  |  87.0 |     86.0    |    85.0    |
|         0.26        |    91.0   |   86.0  |  87.0 |     86.0    |    85.0    |
|        0.265        |    91.0   |   86.0  |  87.0 |     86.0    |    85.0    |
|         0.27        |    91.0   |   86.0  |  87.0 |     87.0    |    85.0    |
|        0.275        |    91.0   |   86.0  |  87.0 |     87.0    |    85.0    |
|         0.28        |    91.0   |   87.0  |  87.0 |     87.0    |    86.0    |
| 0.28500000000000003 |    91.0   |   87.0  |  87.0 |     87.0    |    86.0    |
|         0.29        |    91.0   |   87.0  |  87.0 |     87.0    |    86.0    |
|        0.295        |    91.0   |   87.0  |  87.0 |     87.0    |    86.0    |
|         0.3         |    91.0   |   87.0  |  87.0 |     87.0    |    86.0    |
|        0.305        |    91.0   |   87.0  |  87.0 |     87.0    |    86.0    |
|         0.31        |    91.0   |   87.0  |  87.0 |     87.0    |    86.0    |
|        0.315        |    91.0   |   87.0  |  87.0 |     87.0    |    86.0    |
|         0.32        |    91.0   |   87.0  |  88.0 |     87.0    |    86.0    |
|        0.325        |    91.0   |   87.0  |  88.0 |     87.0    |    86.0    |
|         0.33        |    91.0   |   87.0  |  88.0 |     87.0    |    86.0    |
|        0.335        |    91.0   |   87.0  |  88.0 |     87.0    |    86.0    |
|         0.34        |    91.0   |   87.0  |  88.0 |     87.0    |    86.0    |
| 0.34500000000000003 |    91.0   |   88.0  |  88.0 |     87.0    |    86.0    |
| 0.35000000000000003 |    91.0   |   88.0  |  88.0 |     88.0    |    86.0    |
|        0.355        |    91.0   |   88.0  |  88.0 |     88.0    |    86.0    |
|         0.36        |    91.0   |   88.0  |  88.0 |     88.0    |    86.0    |
|        0.365        |    91.0   |   88.0  |  88.0 |     88.0    |    86.0    |
|         0.37        |    91.0   |   88.0  |  88.0 |     88.0    |    86.0    |
|        0.375        |    91.0   |   88.0  |  88.0 |     88.0    |    87.0    |
|         0.38        |    91.0   |   88.0  |  88.0 |     88.0    |    87.0    |
|        0.385        |    91.0   |   88.0  |  88.0 |     88.0    |    87.0    |
|         0.39        |    91.0   |   88.0  |  88.0 |     88.0    |    87.0    |
|        0.395        |    91.0   |   88.0  |  88.0 |     88.0    |    87.0    |
|         0.4         |    91.0   |   88.0  |  88.0 |     88.0    |    87.0    |
|        0.405        |    91.0   |   88.0  |  88.0 |     88.0    |    87.0    |
| 0.41000000000000003 |    91.0   |   88.0  |  88.0 |     88.0    |    87.0    |
| 0.41500000000000004 |    91.0   |   88.0  |  88.0 |     88.0    |    87.0    |
|         0.42        |    91.0   |   88.0  |  88.0 |     88.0    |    87.0    |
|        0.425        |    91.0   |   88.0  |  88.0 |     88.0    |    87.0    |
|         0.43        |    91.0   |   88.0  |  88.0 |     88.0    |    87.0    |
|        0.435        |    91.0   |   88.0  |  88.0 |     88.0    |    87.0    |
|         0.44        |    91.0   |   88.0  |  88.0 |     88.0    |    87.0    |
|        0.445        |    91.0   |   89.0  |  88.0 |     88.0    |    87.0    |
|         0.45        |    91.0   |   89.0  |  88.0 |     88.0    |    87.0    |
|        0.455        |    91.0   |   89.0  |  88.0 |     88.0    |    87.0    |
|         0.46        |    91.0   |   89.0  |  88.0 |     88.0    |    87.0    |
|        0.465        |    91.0   |   89.0  |  88.0 |     88.0    |    87.0    |
| 0.47000000000000003 |    91.0   |   89.0  |  88.0 |     88.0    |    87.0    |
| 0.47500000000000003 |    91.0   |   89.0  |  88.0 |     88.0    |    87.0    |
|         0.48        |    91.0   |   89.0  |  88.0 |     88.0    |    87.0    |
|        0.485        |    91.0   |   89.0  |  88.0 |     88.0    |    87.0    |
|         0.49        |    91.0   |   89.0  |  88.0 |     88.0    |    87.0    |
|        0.495        |    91.0   |   89.0  |  88.0 |     88.0    |    87.0    |
|         0.5         |    91.0   |   89.0  |  88.0 |     88.0    |    87.0    |
|        0.505        |    91.0   |   89.0  |  88.0 |     88.0    |    87.0    |
|         0.51        |    91.0   |   89.0  |  88.0 |     88.0    |    88.0    |
|        0.515        |    91.0   |   89.0  |  88.0 |     88.0    |    88.0    |
|         0.52        |    91.0   |   89.0  |  88.0 |     88.0    |    88.0    |
|        0.525        |    91.0   |   89.0  |  88.0 |     88.0    |    88.0    |
|         0.53        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|        0.535        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|         0.54        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|        0.545        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|         0.55        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|        0.555        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|         0.56        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|  0.5650000000000001 |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|  0.5700000000000001 |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|  0.5750000000000001 |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|         0.58        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|        0.585        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|         0.59        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|        0.595        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|         0.6         |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|        0.605        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|         0.61        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|        0.615        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|         0.62        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|        0.625        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|         0.63        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|        0.635        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|         0.64        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|        0.645        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|         0.65        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|        0.655        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|         0.66        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|        0.665        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|         0.67        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|        0.675        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|         0.68        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|        0.685        |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|  0.6900000000000001 |    91.0   |   89.0  |  89.0 |     89.0    |    88.0    |
|  0.6950000000000001 |    91.0   |   90.0  |  89.0 |     89.0    |    88.0    |
|  0.7000000000000001 |    91.0   |   90.0  |  89.0 |     89.0    |    88.0    |
